S_NOMBARRI,SHAPE_Leng,SHAPE_Area
Las Esmeraldas,1953.567183,152994.6201
Francisco Antonio Zea,2261.340712,233043.8789
Boyacá,2487.823708,257774.695
Toscana,2549.650708,290987.3487
Caribe,3511.14391,604317.6355
Tejelo,3441.707981,422329.7544
López de Mesa,2320.4093,199755.6544
Pajarito,3935.89228,289665.264
Bello Horizonte,2108.996566,188947.5753
Córdoba,2692.238098,235242.1477
Aures No.2,4212.287274,647896.0363
Batallón Girardot,3761.488804,325023.5361
Villa Guadalupe,2488.289111,238371.3582
Moscú No.2,2426.272471,282167.6254
Granizal,2872.285659,245483.9979
Popular,4273.228951,445833.0509
Andalucía,2412.790682,228230.8552
Villa Niza,1712.481773,143331.4664
Playón de Los Comuneros,3399.89575,204774.9062
Moscú No.1,2220.129414,190747.0363
Santo Domingo Savio No.1,3597.669936,560943.0045
Santo Domingo Savio No.2,2880.686301,265165.6769
El Compromiso,1176.482538,71753.17351
San Pablo,2400.04048,210708.224
Aldea Pablo VI,1575.662567,71868.0472
La Esperanza No.2,1293.919662,67433.26194
La Rosa,2322.162543,165339.6044
Versalles No.2,2797.536276,247007.7262
Manrique Oriental,2993.794321,373904.4246
Manrique Central No.2,2635.541069,240761.9215
El Pomar,1970.484818,157430.4307
Carpinelo,2887.26842,363202.2471
La Avanzada,2784.822145,277200.1189
Pablo VI,1434.961558,77123.96776
Villa del Socorro,2537.839038,231184.086
Campo Valdés No.2,2837.58411,388250.9265
Santa Inés,2599.656405,348765.9121
El Raizal,2928.021438,299435.7425
Estación Villa,1965.89062,195193.3409
Bomboná No.1,1993.747347,207662.2764
Héctor Abad Gómez,2702.591419,240165.3966
Castilla,2992.692246,551782.256
Kennedy,2992.480639,491929.0238
Mirador del Doce,1417.643832,67036.67582
El Triunfo,1720.993362,118817.6393
La Esperanza,2713.854819,406645.3513
Doce de Octubre No.1,3015.465501,436515.5105
Picachito,1840.491577,124794.4288
Las Estancias,4987.560529,302104.3226
El Pinal,3272.676342,413433.111
Pedregal,3607.385503,582238.1404
Doce de Octubre No.2,3353.920185,398688.0967
Picacho,3728.282199,416699.0929
Progreso No.2,1673.829458,114832.2317
San Martín de Porres,2520.260401,287043.2754
Santander,3246.898496,415156.8524
Facultad de Minas U. Nacional,2774.69971,241492.1561
Palenque,4134.216294,384112.9816
San Antonio,2946.014115,152514.9317
La Sierra,2391.690648,214209.1622
Fuente Clara,3024.325901,236512.9726
Villa Flora,2156.430219,251121.2241
Cucaracho,4976.319494,625677.5596
La Pilarica,3156.868749,305013.156
Altamira,2895.357066,368315.0375
Villatina,5334.799985,406333.9242
La Libertad,2852.960432,312507.3925
Bosques de San Pablo,2966.291949,264026.272
La Ladera,4439.929864,543373.4438
Sucre,2622.350961,339828.5613
San Miguel,2938.353127,371139.9652
Buenos Aires,2357.503962,293240.7216
Aures No.1,4182.740327,762197.1663
Los Mangos,3386.256758,467580.5635
Villa Turbay,2415.45821,247586.8463
Olaya Herrera,4250.023427,421949.3966
Robledo,4182.42102,446749.8341
Villa Lilliam,2873.452132,155279.7846
Santa Margarita,4156.547034,508750.1894
Nueva Villa de La Iguaná,1839.395011,64848.26887
San Germán,4556.993036,568390.5126
Barrios de Jesús,3644.563841,443094.7377
Juan Pablo II,2018.308298,75320.48026
Loreto,3802.819154,667605.7418
Gerona,2259.748022,249282.3634
Castropol,3960.367986,607731.7924
San Lucas,5015.470553,1232446.784
Los Balsos No.2,2947.588556,486708.0013
Manila,2453.79163,274174.3209
Villa Carlota,3941.999955,934710.1242
Sin Nombre,3240.09989,166632.8519
Sin Nombre,3919.368573,589871.3291
Montecarlo,1051.5595,54668.62061
San Jose,562.7417631,10035.90111
El Salado,505.7113318,11385.85385
El Naranjal,355.2444261,6853.917194
Girardota La Nueva,1158.340611,70384.87178
Nuevohorizonte,585.0887207,16828.82489
Barrios de Jesús,1402.607804,42063.48446
Pepe Sierra,855.7064791,35215.3149
Pepe Sierra II,690.4399224,29882.48992
Cecilia Caballero,979.3155734,30279.29794
El Progreso,741.5053177,16620.43833
Santa Mónica,1047.045441,42812.53822
Robles,1000.3131,43036.57491
Centro,1123.392548,62024.02933
Treinta de Mayo,985.7242346,39444.60252
Leticia,1369.32992,71365.59514
Aguas Calientes,1152.228281,52530.21907
Santiago de los Caballeros,1467.01682,44533.69311
El Esmeraldal,3859.199888,429731.6036
El Portal,1871.5989,174544.208
Lorena,3340.026731,410634.4119
Cuarta Brigada,2463.019834,273038.6887
Las Acacias,2664.632063,341417.177
La Castellana,4345.630251,696604.2684
Laureles,4085.188536,707576.8934
Bolivariana,2799.38149,321235.6022
El Velódromo,2970.303394,366979.1859
Los Conquistadores,3827.63926,684698.6243
Naranjal,3912.384684,935710.0723
Carlos E. Restrepo,3381.440251,450907.8171
Los Colores,3939.013949,555603.0993
San Joaquín,2448.962547,328634.0011
El Pesebre,3521.713824,222112.3654
Juan XXIII La Quiebra,2825.955849,223899.6529
Eduardo Santos,2786.580692,236055.6627
El Poblado,2740.421085,261619.0976
Aurelio Mejia,1881.179361,123953.9758
La Ceiba,898.922428,36118.62149
Guayacanes,914.8220487,43993.80427
El Paraiso,1086.050955,50536.48126
Centro,2240.999498,215365.5794
Santana,1220.335196,62767.34863
Guaduales,602.484742,9966.756304
Juan XXIII,1542.498528,104123.3173
La Ferreria,1046.148371,49281.0364
El Llano,3183.843431,197541.1367
Florida,965.7592329,37069.92092
La Chinca,2285.33073,209834.9948
San Andres,2105.218864,66610.64257
San Agustin,4381.024709,884695.3338
Camilo Torres,1287.421668,55675.62924
Centro,1348.64853,106300.0862
Chile,1851.032439,92248.23891
El Pedrero,2020.244636,143964.4343
El Dorado,1363.762467,38111.3364
Primavera,909.4904576,33677.24436
Zona Industrial No. 1,5835.04434,866971.0458
Villa Paula,1113.089343,50662.10408
Los Naranjos,1389.859426,113249.5679
Zona Industrial No. 2,3136.693066,504537.7854
La Santa Cruz,3985.88958,123737.3878
Centro,2997.365155,355498.2057
Asturias,1003.734645,43801.95151
Playa Rica,1528.457946,108140.6616
San Isidro,968.0178423,55385.71791
Satexco,1505.299713,110459.2334
San Juan Bautista,451.0128324,11238.87113
Las Mercedes,1492.133667,86055.868
San Jose,1580.567009,108372.6076
Araucaria,878.5292193,35313.01352
La Gloria,1262.819646,68616.45349
Alto de Misael,1986.931161,138242.2739
Jardines,1658.787358,133402.9783
Pontevedra,1965.331367,182711.4983
Las Orquideas,2439.488934,197278.0747
Villagrande,2338.751934,225077.2411
Los Balsos No.1,5789.697058,1405490.786
La Ferreria,2283.172193,244879.9675
Horizontes,1510.769944,67104.69832
Bellavista,1546.389175,96746.7013
Monterrey,1078.842224,37875.88616
Caqueta,2866.571222,345455.6536
San Vicente,430.7912292,10835.98736
San Cayetano,686.5995448,21514.59515
Zona Industrial,3019.443283,205504.289
Escobar,974.4482752,29108.32706
San Martin,1657.862977,90506.32296
Quebrada Grande,2610.555259,197268.8774
Las Brisas,1985.580242,211783.5744
La Ospina,2606.88876,302911.3805
Los Naranjos,1270.611514,43379.81455
Santa Catalina,4379.801664,362827.9629
Monteverde,979.596797,48095.77756
La Esmeralda,3963.773435,270413.1607
El Portón,1051.113288,30208.41711
Buenos Aires,1147.609218,25152.61635
MIRA FLORES,874.5348896,25988.76303
YARUMITO,2564.520347,100224.7628
VILLANUEVA,3159.772738,326218.6858
REMANSO,2919.206899,270589.1739
Las Americas,686.7693819,27910.95482
Las Acacias,742.1247499,22183.87158
Terranova,1674.759245,119885.9546
El Tablazo,1796.843388,108321.7294
Loma Linda,963.8942865,39170.63859
Calatrava,1732.509673,105789.9233
El Progreso,851.7613162,12925.79691
Fatima,2146.372858,204214.7915
El Rosario,2399.70278,168056.0171
La Uni¢n,810.7474154,32177.82738
La Independencia,1760.539895,129072.0529
Zona Industrial No. 3,3888.396471,441780.6294
Camparola,1230.271803,75970.27592
San Pio X,1513.402809,84997.90368
La Palma,2409.060856,113951.3194
Montesacro,2328.220896,202201.3198
Las Margaritas,878.0060898,48602.22494
Samaria,947.6614348,35864.11776
Santa Ana,1100.53392,61046.91293
El Palmar,1133.460327,50875.90004
Samaria Robles del Sur,1757.30017,123762.8426
Yarumito,2356.372455,220118.6389
La Finca,1335.671247,56555.29081
San Antonio,753.9259618,29471.46524
USO MULTIPLE,6082.138377,507275.6899
LA ASUNCION,1847.171585,166687.9041
SIMON BOLIVAR,1895.938818,190642.44
EL OBRERO,1448.044862,83333.81401
TOBON QUINTERO,1064.546802,53753.72408
EL RECREO,723.0649128,26136.9083
LAS VEGAS,2729.299834,111478.8029
LA AZULITA,2601.17491,170374.8501
EL PORVENIR,552.9279149,15248.37065
Santa Mar¡a No. 2,4297.184037,532046.1897
La Esmeralda,2595.487567,326964.7031
Simon Bol¡var,1945.691456,194117.9578
Colinas del Sur,1809.589304,182609.9061
Santa Mar¡a No. 3,5266.378794,1031931.226
Balcones de Sevilla,1350.902981,64522.01646
Ferrara,1670.699784,67116.50696
La Aldea,1289.745762,56999.49706
La Maruchenga,2031.648256,185856.0029
Paris,3959.910062,579923.8235
La Cabañita,3097.256897,410299.1493
La Cabaña,3341.274389,292791.8338
Nuevo,2679.343343,262057.0094
La Madera,880.3267229,48481.30077
PEDREGAL,2440.69255,235683.8786
LA MISERICORDIA,2539.734292,232668.292
MACHADO,5645.80676,720744.8863
LA MARIA,2526.714529,286885.761
SAN JUAN,3559.975062,251195.8873
FATIMA,1108.399495,56059.602
SAN FRANCISCO,646.4107914,13914.30136
LA PEDRERA,1546.579965,115667.7855
CRISTO REY,4080.561432,312002.813
EL TABLAZO,2899.930085,258213.7758
EL MOJON,3013.204319,265588.3469
Ditares,6956.247332,1519341.506
San Francisco,2180.861491,134298.0263
Triana,2040.253737,132723.9846
San Gabriel,2337.151869,166925.5257
Malta,536.2417997,12177.7188
San Javier,759.9263875,26161.91835
Villa L¡a,1090.710902,53456.78732
Sin nombre,3732.56477,144178.0242
Las Brisas,1630.679254,107024.5202
Pilsen,1011.65463,52889.10046
19 de Abril,1826.818097,123491.7422
San Fernando,3605.951366,768723.0455
Glorieta Pilsen,3387.580023,306952.7761
Santa Mar¡a La Nueva,1521.785093,71261.56819
Santa Mar¡a No. 1,3052.063716,214514.6155
Sin nombre,776.8048457,33586.86444
Prado,1591.021247,153985.5177
Las Granjas,1302.613297,92176.92873
Congolo,1367.734716,84081.1313
Andalucía,1308.714581,94410.21242
La Milagrosa,1138.913749,62282.90675
El Cairo,1516.469913,97128.69076
Mesa,1365.758028,88158.23588
Central,1299.618296,49332.17979
Suárez,779.7671769,21207.98317
Espíritu Santo,2379.578953,111528.6711
Nazareth,1288.154482,68381.178
Rincón Santo,911.1542964,33931.02076
Puerto Bello,605.9755831,20437.44291
La Estación,1102.994257,66684.28554
Playa Rica,2319.3162,191995.586
La Aldea,1681.772088,131318.0505
El Ducado,881.9047422,38646.56266
Pachelly,1668.569545,101474.1204
Los Alpes,1120.676149,33575.37475
Bellavista,1995.957062,101245.4847
Sn Gabriel,823.8538737,28939.03905
Sn Martín,1329.075738,52194.90216
Villas del Sol,1360.826832,105343.9089
Urb Araucarias,902.775021,21255.13232
La Selva,916.868605,40493.94029
Altos de Niquía,6516.226121,724676.8326
La Gran Avenida,2143.881207,152199.2864
La Florida,1791.867105,121239.7099
San José Obrero,2148.312828,183737.1263
Urb Villas de Occidente,1167.163497,41713.14867
Urb Serramonte,918.9043312,50512.0734
Urb Palmar de Serramonte,553.3510258,11846.99241
Santa Ana,1812.429327,100139.1945
Salento,2041.697286,168039.4105
El Rosario,1681.772906,147381.3067
Pérez,1280.347332,75235.45171
Centro,1764.383879,139432.9106
Manchester,2038.658088,152557.4157
El Porvenir,1520.909607,117447.6674
Altavista,2039.897162,167561.2878
Buenos Aires,1514.948981,124434.5139
El Carmelo,1423.993314,106451.2646
Briceñito,944.1465838,51875.14593
El Paraíso,1332.836208,91264.89826
Trapiche,2246.773563,169041.3896
Urapanes,496.367847,13663.04841
Urb Villamaría,789.3398223,25605.55846
Urb Riachuelos,1352.920557,47977.29606
Urb Cinco Estrellas,1049.603856,74464.61909
La Camila,1420.853235,76232.89102
Las Vegas,1560.06534,118770.6007
Alcalá,1420.320662,51656.32038
Fontidueño,2507.297144,117986.3605
Santa Rita,2897.105277,286457.4612
Alpes del Norte,436.6763005,12033.28386
Zamora,1834.089243,166776.402
Acevedo,1393.438069,66454.74593
Navarra,1512.373103,94760.83177
Ciudad Niquía,3340.688392,483321.4359
Hermosa Provincia,3803.923139,596048.3791
Guasimalito,1694.576313,124799.0765
La Gabriela,2066.005865,127446.7943
Bosques de Zuniga,1707.521145,157166.8068
Las Vegas,8120.898027,1368880.355
Zuniga,6016.833095,737347.0997
El Salado,4713.385941,256011.0072
El Chigui,4577.10033,326726.3849
La Mina,3593.259651,302450.6872
San Rafael,3163.157944,331624.139
El Trianon,3388.017862,349058.7188
Las Antillas,3391.41319,280776.8586
Loma del Barro,3885.582666,703027.2974
Las Casitas,1072.842353,65210.11214
Niquía Bifamiliar,2639.121495,180375.5387
Altos de Quitasol,1285.813356,92705.51219
El Mirador,2506.900963,229405.4116
Panamaricano,1827.471079,129837.4657
Ciudadela del Norte,2337.448709,267338.8843
